league,team,ZVA,zones_used,mean_pva,ZVA_gd,ZVA_pct_of_pva
FA WSL 2018-19,Arsenal WFC,0.000685,18,0.002546,1.9617,26.9
FA WSL 2018-19,Birmingham City WFC,-0.000373,18,0.00166,-1.0682,-22.47
FA WSL 2018-19,Brighton & Hove Albion WFC,-0.000163,18,0.001858,-0.4668,-8.77
FA WSL 2018-19,Bristol City WFC,-0.000207,18,0.001818,-0.5928,-11.39
FA WSL 2018-19,Chelsea FCW,0.000529,18,0.00254,1.5149,20.83
FA WSL 2018-19,Everton LFC,-0.000128,18,0.002019,-0.3666,-6.34
FA WSL 2018-19,Liverpool WFC,-0.000298,18,0.002069,-0.8534,-14.4
FA WSL 2018-19,Manchester City WFC,0.000171,18,0.002402,0.4897,7.12
FA WSL 2018-19,Reading WFC,4.3e-05,18,0.002007,0.1231,2.14
FA WSL 2018-19,West Ham United LFC,-4.5e-05,18,0.001954,-0.1289,-2.3
FA WSL 2018-19,Yeovil Town LFC,-0.000219,18,0.002094,-0.6272,-10.46
FA WSL 2020-21,Arsenal WFC,0.000381,18,0.002313,1.0911,16.47
FA WSL 2020-21,Aston Villa,-0.000265,18,0.002098,-0.7589,-12.63
FA WSL 2020-21,Birmingham City WFC,-0.000392,18,0.0016,-1.1226,-24.5
FA WSL 2020-21,Brighton & Hove Albion WFC,-0.00012,18,0.001928,-0.3437,-6.22
FA WSL 2020-21,Bristol City WFC,-0.000174,18,0.002432,-0.4983,-7.15
FA WSL 2020-21,Chelsea FCW,0.000485,18,0.002654,1.3889,18.27
FA WSL 2020-21,Everton LFC,-0.000213,18,0.001805,-0.61,-11.8
FA WSL 2020-21,Manchester City WFC,0.000324,18,0.002453,0.9279,13.21
FA WSL 2020-21,Manchester United,0.000195,18,0.002588,0.5584,7.53
FA WSL 2020-21,Reading WFC,7.1e-05,18,0.002102,0.2033,3.38
FA WSL 2020-21,Tottenham Hotspur Women,-0.000363,18,0.0016,-1.0396,-22.69
FA WSL 2020-21,West Ham United LFC,3.7e-05,18,0.002104,0.106,1.76
