league,team,n_possessions,pct_unassigned,rva_all,mean_pva,rva_def,n_clusters_def,rva_mid,n_clusters_mid,rva_att,n_clusters_att,rva_gd,rva_pct_of_pva
FA WSL 2018-19,Arsenal WFC,1143,29.92,0.003433,0.048415,0.001237,15,0.000845,13,0.00135,9,0.4588,7.09
FA WSL 2018-19,Birmingham City WFC,1049,26.41,-0.002034,0.026687,-0.000105,17,-0.001578,18,-0.000351,7,-0.2718,-7.62
FA WSL 2018-19,Brighton & Hove Albion WFC,812,20.69,0.001094,0.02501,0.000234,15,0.000205,16,0.000655,6,0.1462,4.37
FA WSL 2018-19,Bristol City WFC,661,19.97,0.002065,0.021379,0.00152,14,0.000539,12,5e-06,2,0.276,9.66
FA WSL 2018-19,Chelsea FCW,1190,30.17,0.001526,0.043113,-0.000351,15,0.001126,18,0.000752,8,0.2039,3.54
FA WSL 2018-19,Everton LFC,805,17.39,0.00032,0.028798,0.000154,16,-0.000316,16,0.000482,8,0.0428,1.11
FA WSL 2018-19,Liverpool WFC,711,19.13,0.001847,0.028791,0.001363,16,-0.000101,13,0.000584,6,0.2468,6.42
FA WSL 2018-19,Manchester City WFC,1246,25.36,0.001437,0.036225,0.000263,17,0.000898,18,0.000275,8,0.192,3.97
FA WSL 2018-19,Reading WFC,1009,21.51,0.002148,0.029708,0.000838,17,0.001393,15,-8.4e-05,8,0.287,7.23
FA WSL 2018-19,West Ham United LFC,850,28.71,-0.000519,0.027652,-0.00068,15,-0.000197,16,0.000358,5,-0.0694,-1.88
FA WSL 2018-19,Yeovil Town LFC,487,15.2,0.003033,0.021055,0.001758,9,0.000999,11,0.000276,1,0.4053,14.41
FA WSL 2019-20,Arsenal WFC,925,29.62,0.00189,0.036643,0.001126,14,6e-05,15,0.000704,9,0.2526,5.16
FA WSL 2019-20,Birmingham City WFC,637,22.76,0.002835,0.021028,0.001356,10,0.000135,11,0.001344,4,0.3788,13.48
FA WSL 2019-20,Brighton & Hove Albion WFC,624,16.51,0.003021,0.024997,0.001347,13,0.001301,11,0.000372,2,0.4037,12.09
FA WSL 2019-20,Bristol City WFC,433,22.63,0.001534,0.023364,0.001292,9,0.000242,5,0.0,0,0.205,6.57
FA WSL 2019-20,Chelsea FCW,812,31.28,0.00449,0.049848,0.000433,11,0.001486,14,0.002571,6,0.6,9.01
FA WSL 2019-20,Everton LFC,565,23.36,0.002664,0.028706,0.001348,11,0.000931,10,0.000384,2,0.356,9.28
FA WSL 2019-20,Liverpool WFC,582,22.16,0.002134,0.025475,0.000103,10,0.001523,12,0.000509,2,0.2852,8.38
FA WSL 2019-20,Manchester City WFC,867,35.06,-6.6e-05,0.037899,-0.000274,12,0.000158,16,5e-05,7,-0.0088,-0.17
FA WSL 2019-20,Manchester United,639,23.94,0.006047,0.037591,0.00112,12,0.000839,10,0.004089,4,0.8081,16.09
FA WSL 2019-20,Reading WFC,615,20.0,0.00483,0.031414,0.000977,13,0.00213,10,0.001723,5,0.6454,15.38
FA WSL 2019-20,Tottenham Hotspur Women,563,26.64,0.000919,0.024922,0.000193,11,0.000726,9,0.0,0,0.1228,3.69
FA WSL 2019-20,West Ham United LFC,573,22.34,0.002644,0.020871,0.000534,7,0.001967,10,0.000144,1,0.3533,12.67
FA WSL 2020-21,Arsenal WFC,1248,32.37,-0.000837,0.051099,0.000426,16,-0.001226,16,-3.8e-05,9,-0.1119,-1.64
FA WSL 2020-21,Aston Villa,788,20.3,0.00209,0.025261,0.00181,18,0.000302,17,-2.2e-05,5,0.2793,8.27
FA WSL 2020-21,Birmingham City WFC,639,18.62,0.002411,0.016642,0.001349,15,-6.1e-05,9,0.001124,4,0.3222,14.49
FA WSL 2020-21,Brighton & Hove Albion WFC,876,21.12,0.000495,0.021279,-0.000137,17,0.000337,17,0.000295,6,0.0661,2.33
FA WSL 2020-21,Bristol City WFC,649,18.34,0.003355,0.028663,0.001893,13,0.001362,11,0.0001,1,0.4483,11.7
FA WSL 2020-21,Chelsea FCW,1147,34.35,0.002436,0.049102,0.00077,14,0.001219,15,0.000447,8,0.3255,4.96
FA WSL 2020-21,Everton LFC,1096,29.56,-0.001603,0.026989,-0.000635,15,-0.001143,18,0.000175,7,-0.2142,-5.94
FA WSL 2020-21,Manchester City WFC,1293,36.27,0.000122,0.046709,-0.000759,13,-0.000107,18,0.000988,8,0.0163,0.26
FA WSL 2020-21,Manchester United,1053,24.31,0.00368,0.039963,0.000543,15,0.002277,17,0.00086,8,0.4918,9.21
FA WSL 2020-21,Reading WFC,1005,20.4,0.002707,0.031682,0.001705,18,0.001077,16,-7.5e-05,8,0.3617,8.54
FA WSL 2020-21,Tottenham Hotspur Women,946,23.68,-0.001253,0.019433,-0.000127,16,-0.000789,18,-0.000336,7,-0.1674,-6.45
FA WSL 2020-21,West Ham United LFC,870,23.22,0.001768,0.025277,0.000507,17,0.000858,15,0.000404,6,0.2363,6.99
